Combo,Subject,Catalog,Name,CC
ADV1321,ADV,1321,Introduction to Creativity,CA
ADV1322,ADV,1322,Introduction to Creativity,CAC
ADV1323,ADV,1323,Digital Media Landscapes,TAS
ADV1324,ADV,1324,"Advertising, Society & Ethics",CIE
ADV1325,ADV,1325,Business Communication,W
AMAE1326,AMAE,1326,Budget & Financial Lit in Arts,QA
ANTH1327,ANTH,1327,Anth: A Four-Field Approach,SBS
ANTH1328,ANTH,1328,Anth: A Four-Field Approach,W
ANTH1329,ANTH,1329,Intro Cultural Anthropology,SBS
ANTH1330,ANTH,1330,Intro Cultural Anthropology,HD
ANTH1331,ANTH,1331,People of the Earth,HC
ANTH1332,ANTH,1332,How to Build a Time Machine,TAS
ANTH1333,ANTH,1333,Global Processes and Problems,SBS
ANTH1334,ANTH,1334,Global Processes and Problems,GPS
ANTH1335,ANTH,1335,Cultures at Risk,SBS
ANTH1336,ANTH,1336,Cultures at Risk,OC
ANTH1337,ANTH,1337,PaleoParents,ES
ANTH1338,ANTH,1338,Human Nature,ES
ANTH1339,ANTH,1339,Intro Biological Anthropology,ES
ANTH1340,ANTH,1340,The Science of Our Past,ES
ANTH1341,ANTH,1341,"Health, Healing and Ethics",PREI
ANTH1342,ANTH,1342,"Health, Healing and Ethics",W
ANTH1343,ANTH,1343,Psychological Anthropology,SBS
ANTH1344,ANTH,1344,Psychological Anthropology,GPS
ANTH1345,ANTH,1345,North American Archaeology,HC
ANTH1346,ANTH,1346,Intro to Medical Anthropology,SBS
ANTH1347,ANTH,1347,Intro to Medical Anthropology,OC
ANTH1348,ANTH,1348,Evolutionary Health,ES
ANTH1349,ANTH,1349,"Gender, Sex, and Sexuality",SBS
ANTH1350,ANTH,1350,"Gender, Sex, and Sexuality",GPS
ANTH1351,ANTH,1351,"Gender, Sex, and Sexuality",HD
ANTH1352,ANTH,1352,Mesoamerican Archaeology,HC
ANTH1353,ANTH,1353,Mesoamerican Archaeology,HD
ANTH1354,ANTH,1354,Peoples of Africa,SBS
ANTH1355,ANTH,1355,Peoples of Africa,GPS
ANTH1356,ANTH,1356,Origins of Civilization,HC
ANTH1357,ANTH,1357,People & Cultures of SE Asia,HC
ANTH1358,ANTH,1358,Life in the Ancient Southwest,SBS
ANTH1359,ANTH,1359,Humanity & Global Env Change,SBS
ANTH1360,ANTH,1360,Humanity & Global Env Change,GPS
ANTH1361,ANTH,1361,Ancient Hawaii,HC
ANTH1362,ANTH,1362,East Asia in Motion,SBS
ANTH1363,ANTH,1363,East Asia in Motion,GPS
ANTH1364,ANTH,1364,East Asia in Motion,HD
ANTH1365,ANTH,1365,Rites of Passage,OC
ANTH1366,ANTH,1366,"Gender, Violence, and Health",SBS
ANTH1367,ANTH,1367,"Gender, Violence, and Health",HD
ANTH1368,ANTH,1368,The Immigrant Experience,SBS
ANTH1369,ANTH,1369,The Immigrant Experience,W
ANTH1370,ANTH,1370,Fantastic Archaeology,HC
ANTH1371,ANTH,1371,Cultural Aspects of Business,OC
ANTH1372,ANTH,1372,Intro to Ethnographic Methods,W
ANTH1373,ANTH,1373,Culture & Diversity in America,SBS
ANTH1374,ANTH,1374,Culture & Diversity in America,HD
ANTH1375,ANTH,1375,Health as a Human Right,SBS
ANTH1376,ANTH,1376,Health as a Human Right,CE
ANTH1377,ANTH,1377,Health as a Human Right,GPS
ANTH1378,ANTH,1378,Health as a Human Right,HD
ANTH1379,ANTH,1379,Good Eats and Forbidden Flesh,SBS
ANTH1380,ANTH,1380,Good Eats and Forbidden Flesh,CE
ANTH1381,ANTH,1381,Good Eats and Forbidden Flesh,HD
ANTH1382,ANTH,1382,Forensic Anthropology,ES
ANTH1383,ANTH,1383,Indians of North America,SBS
ANTH1384,ANTH,1384,Indians of North America,HD
ANTH1385,ANTH,1385,Latin America,SBS
ANTH1386,ANTH,1386,Latin America,GPS
ANTH1387,ANTH,1387,Latin America,HD
ANTH1388,ANTH,1388,Society and Culture in Europe,SBS
ANTH1389,ANTH,1389,Society and Culture in Europe,GPS
ANTH1390,ANTH,1390,Society and Culture in Europe,HD
ANTH1391,ANTH,1391,From Gold to Gambling,SBS
ANTH1392,ANTH,1392,From Gold to Gambling,HD
ANTH1393,ANTH,1393,Language in Culture & Society,SBS
ANTH1394,ANTH,1394,Anth of Science and Tech,TAS
ANTH1395,ANTH,1395,"Magic, Myth and Religion",SBS
ANTH1396,ANTH,1396,"Magic, Myth and Religion",GPS
ANTH1397,ANTH,1397,Global Urbanism,GPS
ANTH1398,ANTH,1398,Global Urbanism,W
ANTH1399,ANTH,1399,Fire on Earth,ES
ANTH1400,ANTH,1400,Living with Fire,HC
ANTH1401,ANTH,1401,Paradise Lost?,HC
ANTH1402,ANTH,1402,Anthrozoology,ES
ANTH1403,ANTH,1403,Anthrozoology,W
ANTH1404,ANTH,1404,The Plundered Past,HC
ANTH1405,ANTH,1405,The Plundered Past,CIE
ANTH1406,ANTH,1406,The Plundered Past,W
ANTH1407,ANTH,1407,In Search of Ice Age Americans,ES
ANTH1408,ANTH,1408,Hunter-Gatherers,GPS
ANTH1409,ANTH,1409,Global & Public Health Impact,CE
ANTH1410,ANTH,1410,Global & Public Health Impact,GPS
ANTH1411,ANTH,1411,Global & Public Health Impact,HD
ANTH1412,ANTH,1412,Field Methods in Archaeology,CE
ANTH1413,ANTH,1413,Field Methods in Archaeology,HD
APSM1414,APSM,1414,Coaching and Leadership,OC
APSM1415,APSM,1415,Anatomy & Physiology I,ES
APSM1416,APSM,1416,Applied Exercise Physiology,ES
APSM1417,APSM,1417,Advanced PR in Sport,W
APSM1418,APSM,1418,Exercise Physiology with Lab,W
APSM1419,APSM,1419,Senior Project APHM,OC
APSM1420,APSM,1420,Physiology Health and Disease,QA
APSM1421,APSM,1421,Senior Project,OC
APSM1422,APSM,1422,Global & Public Health Impact,CE
APSM1423,APSM,1423,Global & Public Health Impact,GPS
APSM1424,APSM,1424,Global & Public Health Impact,HD
APSM1425,APSM,1425,Sports Data and Analytics,QA
APSM1426,APSM,1426,AP & E Internship,CE
ARBC1427,ARBC,1427,Beginning Arabic II,SLM
ARBC1428,ARBC,1428,Intermediate Arabic I,LAI
ARBC1429,ARBC,1429,Intermediate Arabic I,GPS
ARBC1430,ARBC,1430,Intermediate Arabic II,GPS
ARBC1431,ARBC,1431,Intermediate Arabic II,OC
ARBC1432,ARBC,1432,Advanced Arabic II,GPS
ARHS1433,ARHS,1433,From Mummies to Gladiators,CA
ARHS1434,ARHS,1434,From Mummies to Gladiators,CAA
ARHS1435,ARHS,1435,Medieval and Early Modern,CA
ARHS1436,ARHS,1436,Medieval and Early Modern,CAA
ARHS1437,ARHS,1437,Baroque to Digital Age,CA
ARHS1438,ARHS,1438,Baroque to Digital Age,CAA
ARHS1439,ARHS,1439,Baroque to Digital Age,GPS
ARHS1440,ARHS,1440,Intro to Western Art I,HC
ARHS1441,ARHS,1441,Intro to Western Art II,HC
ARHS1442,ARHS,1442,Intro to African Arts,CA
ARHS1443,ARHS,1443,Intro to African Arts,CAA
ARHS1444,ARHS,1444,Introduction to Architecture,CA
ARHS1445,ARHS,1445,Introduction to Architecture,CAA
ARHS1446,ARHS,1446,Introduction to Art History,CA
ARHS1447,ARHS,1447,Introduction to Art History,CAA
ARHS1448,ARHS,1448,Epic of Latin America,CA
ARHS1449,ARHS,1449,Epic of Latin America,CAA
ARHS1450,ARHS,1450,Intro Art Ancient Egypt,HC
ARHS1451,ARHS,1451,Architecture Islamic World,CA
ARHS1452,ARHS,1452,Architecture Islamic World,CAA
ARHS1453,ARHS,1453,The Global Baroque,HC
ARHS1454,ARHS,1454,The Global Baroque,HD
ARHS1455,ARHS,1455,The Visual Arts in France,HC
ARHS1456,ARHS,1456,Visual Cultures,HC
ARHS1457,ARHS,1457,Impressionism,HC
ARHS1458,ARHS,1458,Picturing the American West,HC
ARHS1459,ARHS,1459,Art in Inka Peru,CA
ARHS1460,ARHS,1460,Art in Inka Peru,CAA
ARHS1461,ARHS,1461,Art in Inka Peru,HD
ARHS1462,ARHS,1462,Ancient Maya Art History,HC
ARHS1463,ARHS,1463,Ancient Maya Art History,HD
ARHS1464,ARHS,1464,Aztecs of Mexico,HC
ARHS1465,ARHS,1465,Aztecs of Mexico,HD
ARHS1466,ARHS,1466,Art of American Southwest,CA
ARHS1467,ARHS,1467,Art of American Southwest,CAA
ARHS1468,ARHS,1468,Art of American Southwest,CIE
ARHS1469,ARHS,1469,Art of American Southwest,OC
ARHS1470,ARHS,1470,Art of American Southwest,W
ARHS1471,ARHS,1471,Photography in Taos,CA
ARHS1472,ARHS,1472,Photography in Taos,CAA
ARHS1473,ARHS,1473,Photography in Taos,OC
ARHS1474,ARHS,1474,War and Looting Ancient Art,HC
ARHS1475,ARHS,1475,War and Looting Ancient Art,CIE
ARHS1476,ARHS,1476,Ancient Greek Art,CA
ARHS1477,ARHS,1477,Ancient Greek Art,CAA
ARHS1478,ARHS,1478,Ancient Greek Art,CIE
ARHS1479,ARHS,1479,Classical Sculpture,HC
ARHS1480,ARHS,1480,Land Between Two Rivers,CA
ARHS1481,ARHS,1481,Land Between Two Rivers,CAA
ARHS1482,ARHS,1482,Medieval Art and Architecture,HC
ARHS1483,ARHS,1483,Art Medieval Science & Magic,CA
ARHS1484,ARHS,1484,Art Medieval Science & Magic,CAA
ARHS1485,ARHS,1485,Art/Cultures of Medieval Spain,CA
ARHS1486,ARHS,1486,Art/Cultures of Medieval Spain,CAA
ARHS1487,ARHS,1487,Art and Architecture in Italy,CA
ARHS1488,ARHS,1488,Art and Architecture in Italy,CAA
ARHS1489,ARHS,1489,Art and Architecture in Italy,OC
ARHS1490,ARHS,1490,Early Modern Hispanic Art,HC
ARHS1491,ARHS,1491,Spanish Art and Architecture,CA
ARHS1492,ARHS,1492,Spanish Art and Architecture,CAA
ARHS1493,ARHS,1493,Spanish Art and Architecture,CIE
